"","Antoni","Pere","Marta","Claudia","Marc","Maria"
"419",978854.7,984609.7,968651.9,990996,989242.6,992878.1
"420",978818.9,984583.6,968617.5,990984.8,989224.3,992869
"421",978783.1,984557.5,968583,990973.5,989206,992859.9
"422",978746.4,984530.6,968546.8,990961.5,989187.2,992850.2
"423",978709.7,984503.8,968510.6,990949.5,989168.4,992840.4
"424",978673,984477,968474.4,990937.5,989149.6,992830.7
"425",978636.3,984450.2,968438.3,990925.4,989130.8,992820.9
"426",978599.6,984423.4,968402.1,990913.4,989112,992811.2
"427",978562.8,984396.5,968365.9,990901.4,989093.2,992801.4
"428",978526.1,984369.7,968329.7,990889.4,989074.4,992791.6
"429",978489.4,984342.9,968293.5,990877.3,989055.6,992781.9
"430",978452.7,984316.1,968257.3,990865.3,989036.8,992772.1
"431",978416,984289.3,968221.1,990853.3,989018,992762.4
"432",978379.3,984262.5,968184.9,990841.3,988999.2,992752.6
"433",978342.6,984235.6,968148.7,990829.2,988980.4,992742.9
"434",978304.6,984208,968110.5,990816.2,988961,992732.3
"435",978266.7,984180.3,968072.3,990803.2,988941.5,992721.7
