,Joan_var,Pere_var,Marta_var,Claudia_var,Marc_var,Maria_var
198,602.74,852.27,954.47,939.48,1256.7,1009.58
199,602.74,852.27,954.47,939.48,1256.7,1009.58
200,602.74,852.27,954.47,939.48,1256.7,1009.58
201,602.74,852.27,954.47,939.48,1256.7,1009.58
202,602.74,852.27,968.78,939.48,1256.7,1009.58
203,602.74,852.27,968.78,939.48,1256.7,1009.58
204,602.74,852.27,968.78,939.48,1256.7,1009.58
205,602.74,865.05,968.78,939.48,1256.7,1009.58
206,602.74,865.05,968.78,953.57,1256.7,1009.58
207,602.74,865.05,968.78,953.57,1256.7,1009.58
208,602.74,865.05,968.78,953.57,1256.7,1024.72
209,602.74,865.05,968.78,953.57,1256.7,1024.72
210,611.78,865.05,968.78,953.57,1275.55,1024.72
211,611.78,865.05,968.78,953.57,1275.55,1024.72
212,611.78,865.05,968.78,953.57,1275.55,1024.72
213,611.78,865.05,968.78,953.57,1275.55,1024.72
214,611.78,865.05,983.32,953.57,1275.55,1024.72
215,611.78,865.05,983.32,953.57,1275.55,1024.72
216,611.78,865.05,983.32,953.57,1275.55,1024.72
217,611.78,878.03,983.32,953.57,1275.55,1024.72
218,611.78,878.03,983.32,967.88,1275.55,1024.72
219,611.78,878.03,983.32,967.88,1275.55,1024.72
220,611.78,878.03,983.32,967.88,1275.55,1040.09
221,611.78,878.03,983.32,967.88,1275.55,1040.09
222,620.96,878.03,983.32,967.88,1294.68,1040.09
223,620.96,878.03,983.32,967.88,1294.68,1040.09
224,620.96,878.03,983.32,967.88,1294.68,1040.09
225,620.96,878.03,983.32,967.88,1294.68,1040.09
226,620.96,878.03,998.07,967.88,1294.68,1040.09
227,620.96,878.03,998.07,967.88,1294.68,1040.09
228,620.96,878.03,998.07,967.88,1294.68,1040.09
229,620.96,891.2,998.07,967.88,1294.68,1040.09
230,620.96,891.2,998.07,982.4,1294.68,1040.09
231,620.96,891.2,998.07,982.4,1294.68,1040.09
232,620.96,891.2,998.07,982.4,1294.68,1055.69
233,620.96,891.2,998.07,982.4,1294.68,1055.69
234,630.27,891.2,998.07,982.4,1314.1,1055.69
235,630.27,891.2,998.07,982.4,1314.1,1055.69
236,630.27,891.2,998.07,982.4,1314.1,1055.69
237,630.27,891.2,998.07,982.4,1314.1,1055.69
238,630.27,891.2,1013.04,982.4,1314.1,1055.69
239,630.27,891.2,1013.04,982.4,1314.1,1055.69
240,630.27,891.2,1013.04,982.4,1314.1,1055.69
241,630.27,904.57,1013.04,982.4,1314.1,1055.69
242,630.27,904.57,1013.04,997.13,1314.1,1055.69
243,630.27,904.57,1013.04,997.13,1314.1,1055.69
244,630.27,904.57,1013.04,997.13,1314.1,1071.53
245,630.27,904.57,1013.04,997.13,1314.1,1071.53
246,639.73,904.57,1013.04,997.13,1333.81,1071.53
247,639.73,904.57,1013.04,997.13,1333.81,1071.53
248,639.73,904.57,1013.04,997.13,1333.81,1071.53
249,639.73,904.57,1013.04,997.13,1333.81,1071.53
250,639.73,904.57,1028.23,997.13,1333.81,1071.53
251,639.73,904.57,1028.23,997.13,1333.81,1071.53
252,639.73,904.57,1028.23,997.13,1333.81,1071.53
253,639.73,918.14,1028.23,997.13,1333.81,1071.53
254,639.73,918.14,1028.23,1012.09,1333.81,1071.53
255,639.73,918.14,1028.23,1012.09,1333.81,1071.53
256,639.73,918.14,1028.23,1012.09,1333.81,1087.6
257,639.73,918.14,1028.23,1012.09,1333.81,1087.6
258,649.32,918.14,1028.23,1012.09,1353.82,1087.6
259,649.32,918.14,1028.23,1012.09,1353.82,1087.6
260,649.32,918.14,1028.23,1012.09,1353.82,1087.6
261,649.32,918.14,1028.23,1012.09,1353.82,1087.6
262,649.32,918.14,1043.66,1012.09,1353.82,1087.6
263,649.32,918.14,1043.66,1012.09,1353.82,1087.6
264,649.32,918.14,1043.66,1012.09,1353.82,1087.6
265,649.32,931.91,1043.66,1012.09,1353.82,1087.6
